DBMSTable,SiteName
3000STL116,SYPJCC-8F-ACC-02PM-TRMS3
3000STL117,SYPJCC-8F-ACC-02PM-KW
3000STL118,SYPJCC-8F-ACC-02PM-KVAR
3000STL119,SYPJCC-8F-ACC-02PM-KVA
3000STL120,SYPJCC-8F-ACC-02PM-HZ
3000STL121,SYPJCC-8F-ACC-02PM-PF
3000STL122,SYPJCC-8F-ACC-02PM-THDV1
3000STL123,SYPJCC-8F-ACC-02PM-THDV2
3000STL124,SYPJCC-8F-ACC-02PM-THDV3
3000STL125,SYPJCC-8F-ACC-02PM-THDAMP1
3000STL126,SYPJCC-8F-ACC-02PM-THDAMP2
3000STL127,SYPJCC-8F-ACC-02PM-THDAMP3
3000STL128,SYPJCC-8F-ACC-02PM-KWH
3000STL129,SYPJCC-8F-ACC-03PM-PAMP1
3000STL130,SYPJCC-8F-ACC-03PM-PAMP2
3000STL131,SYPJCC-8F-ACC-03PM-PAMP3
3000STL132,SYPJCC-8F-ACC-03PM-TRMS1
3000STL133,SYPJCC-8F-ACC-03PM-TRMS2
3000STL134,SYPJCC-8F-ACC-03PM-TRMS3
3000STL135,SYPJCC-8F-ACC-03PM-KW
3000STL136,SYPJCC-8F-ACC-03PM-KVAR
3000STL137,SYPJCC-8F-ACC-03PM-KVA
3000STL138,SYPJCC-8F-ACC-03PM-HZ
3000STL139,SYPJCC-8F-ACC-03PM-PF
3000STL140,SYPJCC-8F-ACC-03PM-THDV1
3000STL141,SYPJCC-8F-ACC-03PM-THDV2
3000STL142,SYPJCC-8F-ACC-03PM-THDV3
3000STL143,SYPJCC-8F-ACC-03PM-THDAMP1
3000STL144,SYPJCC-8F-ACC-03PM-THDAMP2
3000STL145,SYPJCC-8F-ACC-03PM-THDAMP3
3000STL146,SYPJCC-8F-ACC-03PM-KWH
3000STL147,SYPJCC-8F-ACC-04PM-PAMP1
3000STL148,SYPJCC-8F-ACC-04PM-PAMP2
3000STL149,SYPJCC-8F-ACC-04PM-PAMP3
3000STL150,SYPJCC-8F-ACC-04PM-TRMS1
3000STL151,SYPJCC-8F-ACC-04PM-TRMS2
3000STL152,SYPJCC-8F-ACC-04PM-TRMS3
3000STL153,SYPJCC-8F-ACC-04PM-KW
3000STL154,SYPJCC-8F-ACC-04PM-KVAR
3000STL155,SYPJCC-8F-ACC-04PM-KVA
3000STL156,SYPJCC-8F-ACC-04PM-HZ
3000STL157,SYPJCC-8F-ACC-04PM-PF
3000STL158,SYPJCC-8F-ACC-04PM-THDV1
3000STL159,SYPJCC-8F-ACC-04PM-THDV2
3000STL160,SYPJCC-8F-ACC-04PM-THDV3
3000STL161,SYPJCC-8F-ACC-04PM-THDAMP1
3000STL162,SYPJCC-8F-ACC-04PM-THDAMP2
3000STL163,SYPJCC-8F-ACC-04PM-THDAMP3
3000STL164,SYPJCC-8F-ACC-04PM-KWH
3000STL165,SYPJCC-8F-ACC-01PM-NAMP
3000STL166,SYPJCC-8F-ACC-02PM-NAMP
3000STL167,SYPJCC-8F-ACC-03PM-NAMP
3000STL168,SYPJCC-8F-ACC-04PM-NAMP
3000STL169,SYPJCC-8F-CHWP-01PM-PAMP1
3000STL170,SYPJCC-8F-CHWP-01PM-PAMP2
3000STL171,SYPJCC-8F-CHWP-01PM-PAMP3
3000STL172,SYPJCC-8F-CHWP-01PM-TRMS1
3000STL173,SYPJCC-8F-CHWP-01PM-TRMS2
3000STL174,SYPJCC-8F-CHWP-01PM-TRMS3
3000STL175,SYPJCC-8F-CHWP-01PM-KW
3000STL176,SYPJCC-8F-CHWP-01PM-KVAR
3000STL177,SYPJCC-8F-CHWP-01PM-KVA
3000STL178,SYPJCC-8F-CHWP-01PM-PF
3000STL179,SYPJCC-8F-CHWP-01PM-KWH
3000STL180,SYPJCC-8F-CHWP-02PM-PAMP1
3000STL181,SYPJCC-8F-CHWP-02PM-PAMP2
3000STL182,SYPJCC-8F-CHWP-02PM-PAMP3
3000STL183,SYPJCC-8F-CHWP-02PM-TRMS1
3000STL184,SYPJCC-8F-CHWP-02PM-TRMS2
3000STL185,SYPJCC-8F-CHWP-02PM-TRMS3
3000STL186,SYPJCC-8F-CHWP-02PM-KW
3000STL187,SYPJCC-8F-CHWP-02PM-KVAR
3000STL188,SYPJCC-8F-CHWP-02PM-KVA
3000STL189,SYPJCC-8F-CHWP-02PM-PF
3000STL190,SYPJCC-8F-CHWP-02PM-KWH
3000STL191,SYPJCC-8F-CHWP-03PM-PAMP1
3000STL192,SYPJCC-8F-CHWP-03PM-PAMP2
3000STL193,SYPJCC-8F-CHWP-03PM-PAMP3
3000STL194,SYPJCC-8F-CHWP-03PM-TRMS1
3000STL195,SYPJCC-8F-CHWP-03PM-TRMS2
3000STL196,SYPJCC-8F-CHWP-03PM-TRMS3
3000STL197,SYPJCC-8F-CHWP-03PM-KW
3000STL198,SYPJCC-8F-CHWP-03PM-KVAR
3000STL199,SYPJCC-8F-CHWP-03PM-KVA
3000STL200,SYPJCC-8F-CHWP-03PM-PF
3000STL201,SYPJCC-8F-CHWP-03PM-KWH
3000STL202,SYPJCC-8F-CHWP-04PM-PAMP1
3000STL203,SYPJCC-8F-CHWP-04PM-PAMP2
3000STL204,SYPJCC-8F-CHWP-04PM-PAMP3
3000STL205,SYPJCC-8F-CHWP-04PM-TRMS1
3000STL206,SYPJCC-8F-CHWP-04PM-TRMS2
3000STL207,SYPJCC-8F-CHWP-04PM-TRMS3
3000STL208,SYPJCC-8F-CHWP-04PM-KW
3000STL209,SYPJCC-8F-CHWP-04PM-KVAR
3000STL210,SYPJCC-8F-CHWP-04PM-KVA
3000STL211,SYPJCC-8F-CHWP-04PM-PF
3000STL212,SYPJCC-8F-CHWP-04PM-KWH
3000STL213,SYPJCC-8F-CHWP-05PM-PAMP1
3000STL214,SYPJCC-8F-CHWP-05PM-PAMP2
3000STL215,SYPJCC-8F-CHWP-05PM-PAMP3
3000STL216,SYPJCC-8F-CHWP-05PM-TRMS1
3000STL217,SYPJCC-8F-CHWP-05PM-TRMS2
3000STL218,SYPJCC-8F-CHWP-05PM-TRMS3
3000STL219,SYPJCC-8F-CHWP-05PM-KW
3000STL220,SYPJCC-8F-CHWP-05PM-KVAR
3000STL221,SYPJCC-8F-CHWP-05PM-KVA
3000STL222,SYPJCC-8F-CHWP-05PM-PF
3000STL223,SYPJCC-8F-CHWP-05PM-KWH
3000STL224,SYPJCC-8F-CHWP-01PM-NAMP
3000STL225,SYPJCC-8F-CHWP-02PM-NAMP
3000STL226,SYPJCC-8F-CHWP-03PM-NAMP
3000STL227,SYPJCC-8F-CHWP-04PM-NAMP
3000STL228,SYPJCC-8F-CHWP-05PM-NAMP
3000STL229,SYPJCC-GF-LVMCCB-E-PAMP1
